FAMSIZE,county,FTOTINC,hhwt
1,Boulder,45000,41
1,Denver,30000,302.95
1,Denver,75000,77
1,Denver,62004,98
1,Boulder,14000,105
4,Boulder,122500,52
2,Boulder,185000,31.25
2,Denver,165000,53.95
2,Denver,235000,112
1,Boulder,15600,56
2,Denver,44000,70
1,Boulder,35200,18.25
2,Denver,45000,138
2,Denver,37000,93.79
1,Denver,42000,98.77
4,Boulder,89000,239
5,Boulder,63600,45.25
4,Boulder,136000,33
1,Denver,22000,90.47
2,Boulder,61500,34.5
3,Boulder,73100,15.75
2,Denver,87200,61.42
2,Denver,70000,126
1,Denver,30000,114
1,Denver,20100,88
3,Boulder,57000,30.75
1,Boulder,150300,43
2,Boulder,27000,18.75
6,Denver,44900,67
3,Denver,382000,74
1,Boulder,75000,14.48
1,Denver,22000,31.54
1,Denver,32400,76
1,Boulder,35000,19.91
1,Denver,18400,59
1,Denver,12600,133
1,Denver,75000,202
1,Denver,10700,139
3,Denver,90000,75
2,Denver,60000,142
1,Denver,36000,266
2,Boulder,47400,59
3,Denver,76000,105
2,Denver,87300,84
2,Denver,45600,30
3,Boulder,88200,62.264
2,Denver,74500,107.07
2,Denver,40010,115
4,Boulder,130000,15.25
1,Boulder,67000,54
1,Denver,15000,129
2,Denver,525200,94
2,Boulder,32000,33
1,Denver,81600,103
4,Denver,110000,92.96
1,Boulder,99000,37.648
2,Denver,40000,273.07
1,Denver,31700,71
1,Denver,18600,78
1,Boulder,12280,71
1,Denver,22404,42.33
9,Denver,133000,223
2,Boulder,159000,24.978
3,Boulder,466200,71
1,Denver,12000,56
2,Boulder,76500,41.63
2,Boulder,36000,73
4,Boulder,102100,40.75
1,Denver,15000,43
1,Boulder,43000,18.1
3,Boulder,247000,82
1,Denver,78500,150
2,Boulder,17500,19
1,Boulder,93000,335
1,Boulder,50500,15.566
1,Denver,0,176
1,Boulder,40500,71
3,Boulder,55000,40.544
1,Denver,23010,121
4,Denver,355350,81
3,Denver,485000,112.88
1,Denver,55000,53.95
2,Boulder,158900,103
3,Denver,68600,73
2,Boulder,25000,33.25
1,Boulder,35000,183
3,Denver,160000,87
2,Boulder,23600,3.5
1,Denver,80000,64
3,Boulder,136600,22.444
1,Denver,70000,317
1,Denver,35000,95
